Title,Titre Originale,Score,Genre,Année,Durée,Description,Acteurs,Public,Pays
Planet Earth II,,9.5,Documentary,2016,298m,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,"David Attenborough,Gordon Buchanan,Chadden Hunter,Elizabeth White,Aaron Durogati,Fredi Devas,Thomas Crowley,Mark MacEwen,Sandesh Kadur,Pete McCowen,Emma Napper,Jerome Poncet,Max Hug Williams,Emma Brennand,Michael J. Sanderson,Ed Charles,Barrie Britton,Toby Nowlan",TV-G,United Kingdom
Breaking Bad,,9.5,Crime,2008–2013,49m,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell",TV-MA,United States
Planet Earth,,9.4,Documentary,2006,538m,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.","Sigourney Weaver,David Attenborough,Nikolay Drozdov,Thomas Anguti Johnston,Sanae Ueda,Huw Cordey,Doug Allan,Mark Linfield,Doug Anderson,Chadden Hunter,Michael Kelem,Simon King,Paul Stewart,Tania Jenkins,Mike Holding,Jeff Wilson,Warwick Sloss,Rick Rosenthal",TV-PG,United Kingdom
Band of Brothers,,9.4,Drama,2001,594m,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing",TV-MA,United Kingdom
Shameless,,8.6,Comedy,2011–2021,46m,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen White,Shanola Hampton,Steve Howey,Emma Kenney,Cameron Monaghan,Michael Patrick McGill,Noel Fisher,Jim Hoffmaster,Brenden Sims,Isidora Goreshter,Christian Isaiah,Joan Cusack,Justin Chatwin,Scott Michael Campbell,Kate Miner",TV-MA,United States
Detectorists,,8.6,Comedy,2014–2022,30m,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.","Mackenzie Crook,Toby Jones,Rachael Stirling,Gerard Horan,Pearce Quigley,Divian Ladwa,Laura Checkley,Sophie Thompson,Orion Ben,Aimee-Ffion Edwards,Simon Farnaby,Paul Casar,Alexa Davies,Lucy Benjamin,Rebecca Callard,Jacob Hill,Daniel Donskoy,Isabella Hill",TV-14,United Kingdom
Endeavour,,8.6,Crime,2012–2023,89m,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.","Shaun Evans,Roger Allam,James Bradshaw,Sean Rigby,Anton Lesser,Caroline O'Neill,Abigail Thaw,Sara Vickers,Dakota Blue Richards,Jack Laskey,Jack Bannon,Simon Harrison,Shvorne Marks,Lewis Peek,Carol Royle,Richard Riddell,Mark Arden,Flora London",TV-14,United Kingdom
Spartacus,Blood and Sand,8.5,Action,2010–2013,55m,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.","Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriegel,Peter Mensah,Nick E. Tarabay,Viva Bianca,Liam McIntyre,Pana Hema Taylor,Cynthia Addai-Robinson,Dustin Clare,Heath Jones,Katrina Law,Ellen Hollman,Barry Duffield,Kelvin Taylor,John Hannah,Craig Parker",TV-MA,United States
The Defiant Ones,,8.5,Documentary,2017,1h,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.","Stevie Nicks,Bono,Tom Petty,Dr. Dre,Jimmy Iovine,Janet Mormile,Ice Cube,Snoop Dogg,Gwen Stefani,Trent Reznor,Bruce Springsteen,Sean 'Diddy' Combs,Nas,The D.O.C.,DJ Yella,Vicki Iovine,Doug Morris,Verna Griffin",TV-MA,United States
It's Okay to Not Be Okay,Saikojiman Gwaenchanha,8.6,Comedy,2020,80m,An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,"Kim Soo-hyun,Seo Ye-Ji,Oh Jung-se,Park Gyuyoung,Kim Joo-hun,Jang Young-Nam,Park Jin-Joo,Kim Gi Cheon,Gi Doong Kang,Jang Gyu-ri,Kim Chang-wan,Jeong Jaekwang,Lee Eol,Ki-Cheon Kim,Kim Mi-Kyung,Choi Woo-Sung,Kim Soo-In,Kang Ji-Eun",TV-MA,South Korea
